artist,song,line
Nas,Last Real Nigga Alive,"He's just nice, he just slice like a Ginsu"
Nas,Last Real Nigga Alive,"He's just nice, he just slice like a Ginsu"
Lil Wayne,Banned from T.V.,"And man, I'm so high, it's like an everlasting fall"
Lil Wayne,Banned from T.V.,Leave a hole in his chest like a lion bite
Lil Wayne,Banned from T.V.,"My words keep going, like a teleprompter"
Lil Wayne,Banned from T.V.,"Drop my best shit, like the Cowboys dropped Owens"
Eminem,Music Box,"Like a Thanksgiving turkey, a holiday ham"
Eminem,Music Box,"I foam like a Doberman, mouth open, I overdose"
Eminem,Music Box,This little chick's neck like a Pixy Stick
Ultimate Force,Im Not Playin,"Because you're yellow, just like the yolk of an egg"
Ultimate Force,Im Not Playin,"And like a Lamborghini, I'm geared to go"
Fabolous,Roger That,I take the la to the head like a Dodger hat
Fabolous,Roger That,I still push it in the hood like a stroller nigga
Fabolous,Roger That,I pop rose like the shit is Miller Draft
Fabolous,Roger That,They know I'm gettin money like the winning ticket
Lupe Fiasco,Shining Down,"Your attention, put back on the flow like the department of water"
Lupe Fiasco,Shining Down,"Judge, jury, like a loop"
Lupe Fiasco,Shining Down,"Telling us not to pursue it, just to shoe it like a blacksmith"
Lupe Fiasco,Shining Down,Like the bandanas Fabolous used to wrap his hats with
Lupe Fiasco,Lupe the Killer,This is where I lay it down like a bird giving birth
Lupe Fiasco,Lupe the Killer,"I wait, til I come back like a tsunami"
Lupe Fiasco,Lupe the Killer,Never microwave like the watchers of the weight
Lupe Fiasco,Lupe the Killer,But I can't fill it like a flathead in a Philips
MC Chris,Mc chris ownz,I'm lit like a Branch Davidian
50 Cent,If I Cant,"React like a gangsta, or die like a gangsta for acting (C'mon)"
50 Cent,If I Cant,"Roofless like the Coupe, but I come with more features"
50 Cent,GATman and Robbin,I react like an animal and tear you apart
Lupe Fiasco,Go to Sleep,I’m the hook after your last verse I’m also like the beat
Lupe Fiasco,Hello/Goodbye Uncool,"Like the skies, we'll rebel"
Lupe Fiasco,Failure,Like the Force I wield
Ice Cube,The Product,But that's going out like a punk
N.W.A,I Aint tha 1,"I ain't the one, the one to get played like a pooh butt"
N.W.A,I Aint tha 1,They'll drop you like a bad habit
N.W.A,I Aint tha 1,'Cause you know I'm looking nothing like your father
N.W.A,Dope Man,"Man, this shit look like a gold on the roll shit (What the fuck is that?)"
"Royce da 5'9""",I Promise,"To think like a baby gangsta, crazy temper"
Atmosphere,Modern Mans Hustle,I'm a chapter in your textbook read me like a checkbook
Nelly,Country Grammar Hot Shit,May I answer your Third Question like A.I
Jimmy Spicer,Adventures of Super Rhyme Rap,"Like the float-like-a-butterfly, stinging Ali?”"
Jimmy Spicer,Adventures of Super Rhyme Rap,Aladdin was attracted like a bee to a hive
Too $hort,Just Another Day,Rolled on out like a playa
Too $hort,Just Another Day,I'm leaning hard to the left like a big shot
Big L,8 Iz Enuff,"This nigga Terra is past butter, sharp like a glass cutter"
Big L,8 Iz Enuff,"Aiyo, fuck bribes, I'm takin' niggas lives like a felon"
Big L,8 Iz Enuff,"Yo, I'm bustin' chumps like a Glock 10"
Big L,8 Iz Enuff,"You dissin', you'll come up missin' like a cub scout"
Big L,8 Iz Enuff,I'm havin' nail-sharp pains in my brain like a Hellraiser
Kanye West,Hey Mama,"Forrest Gump mama said, ""Life is like a box of chocolates"""
Kanye West,Hey Mama,"Can't you see, you're like a book of poetry"
Lupe Fiasco,National Anthem,I take it back for you like the Wyld Stallyns of San Dimas
Lupe Fiasco,National Anthem,"I done it, as well as a celebrated alumnus"
Lupe Fiasco,National Anthem,Feeling like a Soldier and I ain't talking where the Bears play
Lupe Fiasco,So Ghetto,Flood the game like a giant in a dwarf's shorts
Lupe Fiasco,So Ghetto,I am on point like the eating side of forks
Lupe Fiasco,So Ghetto,So keep your head down like your reflection in a spoon
The Roots,Criminal,And treat me like a criminal
The Roots,Criminal,And treat me like a criminal
The Roots,Criminal,Get treated like a criminal if crime is all you know
The Roots,Criminal,Get greeted like a nigga if a nigga's all you show
The Roots,Criminal,My city like a island where you can't find a boat
The Roots,Criminal,(And do what?) And treat me like a criminal
The Roots,Criminal,"I'm like a senior citizen, still living but getting benefits"
The Roots,Criminal,And treat me like a criminal
The Roots,Criminal,And treat me like a criminal
Roots Manuva,Join the Dots,Like a weed whore checkin' that hydroponic buck
Roots Manuva,Join the Dots,I disappear like his missing ear when I'm switchin gears
Roots Manuva,Join the Dots,Shining like your kitchen ware rhymes rich and rare
Roots Manuva,Join the Dots,Surround your sound like a spandex pants leg
Roots Manuva,Join the Dots,Spread like an advanced plague worms never dance may
Lupe Fiasco,The One,"An Inglorious Basterd and you looking like a Nazi, bitch"
Clipse,Prayer,"Like the realest shit ever, you know"
Birdman,Oh Yeah,Daddy...You make me feel like a star
Birdman,Oh Yeah,Daddy...You make me feel like a star
50 Cent,Window Shopper,"I start spittin' G at a bitch like a pimp, mane"
Lupe Fiasco,Just Might Be OK,Just like a Rochester customer
Lupe Fiasco,I Gotcha,"But they can't, they accented like the UK"
Lupe Fiasco,I Gotcha,"But you don't hear me though, just like a mime's talk"
Lupe Fiasco,Carrera  Lu,Running around like a chicken with his head cut off
Lupe Fiasco,Carrera  Lu,"Well I be pimping, I be limping like a chicken with his leg cut off"
Lupe Fiasco,Tilted,I lead them through the harm like a Hero
Lupe Fiasco,And He Gets the Girl,Man that's really funny how we like the same music
Lupe Fiasco,Theme Music to a Drive-By,They deranged like the Rover that I rode
Lupe Fiasco,Theme Music to a Drive-By,Not at the bar but trying to put him behind the bar like a bartender
Lupe Fiasco,Theme Music to a Drive-By,He laid the law like the bar so I put it in a bar for dude
Lupe Fiasco,Theme Music to a Drive-By,'Cause they'll play ya like the space bar in Tools
Z-Ro,From The South,"I'm Paul Wall my smile is blinding, my ice is shining like a chandelier"
Z-Ro,From The South,"Put on your shades when I commence to approach, my mouth is illuminating like a lamp"
Z-Ro,From The South,"On the first and fifteenth, I'm some'ing like a pimp"
Z-Ro,From The South,5 deuce Hoova Cuz ain't nothing like a Crip
Custom Made Gangstas,Still Grindin,"Blue and yellow appearal, I bang like a gavel"
Custom Made Gangstas,Still Grindin,"And he ever snitch sleeping, like his alarm clock wasn't set"
Custom Made Gangstas,Still Grindin,"Let me go on hop into it, like a cricket"
Lakim Shabazz,Notes of Def,"Like a magnet I cling to the mic, I don't swing a knife"
Lakim Shabazz,Notes of Def,The microphone gets clutched like a tourniquet
Lakim Shabazz,Notes of Def,"Yo, I hold information like a microchip"
Lakim Shabazz,The Voice of Power,"Vocals I flow styles, I like the track"
Juelz Santana,Kill Em,"Like a motherfuckin hand that you shake (shake, bitch)"
B.o.B,5th Dimension,You'll probably feel moist like the trees on the tropics
B.o.B,5th Dimension,"Well, fresh up out the sky I'm like a meteorite"
B.o.B,5th Dimension,Hanging in the Cosmos like a space ornament
B.o.B,5th Dimension,"Heat 'em up like a solar panel, yes I bring the pain"
Lil Wayne,Sweet Dreams,Cold like a white bear
Lil Wayne,Sweet Dreams,Go together like a team in the gym
Child Rebel Soldier,Us Placers,Like an eye-drop of turpentine
Child Rebel Soldier,Us Placers,Eggshell off-white like a DuPont finish
Kid Cudi,Sky Might Fall,Like a Martian who seemingly wandered out of place
Rick Ross,MC Hammer,"It's called Scaglietti, one button like an Atari"
Diddy,Hello Good Morning Remix,Got your boyfriend feeling like a groupie
Diddy,Hello Good Morning Remix,Stuntin like you looking like a movie
Diddy,Hello Good Morning Remix,Got your boyfriend feeling like a groupie
Diddy,Hello Good Morning Remix,Stuntin like you looking like a movie
Diddy,Hello Good Morning Remix,How that nigga Diddy go so hard like a crowbar still getting dough
Goodie Mob,Fly Away,"See, I'm a rare stud lookin to bloom like a mushroom"
Goodie Mob,Fly Away,Like the hand that took
Goodie Mob,Fly Away,Look like the color pink
Goodie Mob,Fly Away,Like the rest of those Sodomites
Goodie Mob,Fly Away,"But fuck around and make me click like a magic trick, ha ha hah"
Goodie Mob,Greeny Green,"This is like a rocket, you never packed"
Goodie Mob,Greeny Green,Feed me a quarter like a jukebox
Goodie Mob,Ghetto-ology,Wobblin' like a duck
Arcade Fire,Ready to Start,Like the kids in art school said they would
Arcade Fire,Ready to Start,Like the kids at art school said they would
Scarface,In Between Us,Circumstances are like my first fight I lost
Justin Bieber,Runaway Love Remix,You got stacks like the International House of Pancakes
Justin Bieber,Runaway Love Remix,"Shop for like a year or two, stop in Diego"
Eminem,Just Lose It,"'Scuse me, miss, I don't mean to sound like a jerk"
Ice Cube,Gangsta Rap Made Me Do It,Ain't nothin' like a man that can do what he wanna
Ice Cube,Gangsta Rap Made Me Do It,Ain't nothin' like a man that you knew on the corner
Ice Cube,Gangsta Rap Made Me Do It,I can act like an animal
Ice Cube,Gangsta Rap Made Me Do It,If I eat you like a cannibal
Ice Cube,Gangsta Rap Made Me Do It,So if I act like a pimp
Chris Webby,50 Barz,Knock you down like a gust of wind if fists touch ya
Chris Webby,50 Barz,"I be flippin' like a calender, lyrics be scorchin' em"
Chris Webby,50 Barz,Sick like the shit they caught on the Trail to Oregon
Chris Webby,50 Barz,Hardbody like my flows lift weights at Planet Fitness
Chris Webby,50 Barz,In the booth feelin' like a fuckin' kid on Christmas
Eazy-E,Nobody Move,Cause a nigga like the E was finally caught
Chiddy Bang,Pros Freestyle 1.0,Don't they feel my impact like a deer crash
Chiddy Bang,Pros Freestyle 1.0,Make the rain go away like a windshield wipe
Goodie Mob,I Refuse Limitation,Sound like the same old song
Goodie Mob,I Refuse Limitation,Went from hardcore to beggin like a bitch
Goodie Mob,I Refuse Limitation,It seems like my faith done turned into forgotten memories
Eminem,My 1st Single,"With murder: I'm like O.J., he's like my Cochran today"
Dr. Dre,Bitch Niggaz,And just like a bitch (beotch) niggas be talkin' shit (nigga)
Dr. Dre,Bitch Niggaz,If you act like a bitch (nigga) nigga you get smacked like a bitch
Dr. Dre,Bitch Niggaz,"To slap you, like the bitch that you are, been wantin' to cap you"
The Notorious B.I.G.,Let Me Get Down,"Blaow, blaow! You like the way I interact"
Radiohead,Fake Plastic Trees,She looks like the real thing
Radiohead,Fake Plastic Trees,She tastes like the real thing
Lady Gaga,Alejandro,"But her boyfriend's like her dad, just like her dad"
Murs,Walk Like a Man,Now I used to walk with the gun now I walk like a man
Keak da Sneak,Super Hyphy,"I'm strikin' like a match, man, back to the town (Back to the town)"
Goodie Mob,The Dip,"Cheifed like a champ, and everything is good"
Goodie Mob,What It Aint Ghetto Enuff,I like the nine when you up and not O's
Made Men,Is it You?  Deja Vu,"Try to bruise me, then I coolly, pop pop shots like a juve'"
Made Men,Is it You?  Deja Vu,So I'm flippin this script up like a lunatic
Drake,Fall For Your Type,It's starting to feel like the wrong thing to do (yeah)
Drake,Fall For Your Type,You say that you're nothing like the last girl
Drake,Fall For Your Type,It's feeling like a second chance and it’s the first impression
Eminem,The Way I Am,"Sometimes I just feel like my father, I hate to be bothered"
Eminem,The Way I Am,And it seems like the media immediately
J. Cole,Higher,Girl your body lookin’ like a fuckin’ pot of gold
J. Cole,Higher,"My life is like a movie, would you be my co-star?"
J. Cole,Higher,"Like Halle Berry? Your old nigga act like a bitch, like Tyler Perry"
GZA,Paper Plate,"Move like a Fed, talk like a mobster"
Eminem,Hailies Song,'Cause sometimes it feels like the world's on my shoulders
Eminem,Hailies Song,‘Cause sometimes it feels like the world's almost over
Eminem,Hailies Song,‘Cause sometimes it feels like the world's on my shoulders
Eminem,Hailies Song,‘Cause sometimes it feels like the world's almost over
Eminem,Hailies Song,"If I could hit the notes, I'd blow somethin' as long as my father"
Eminem,Hailies Song,And this load is like the weight of the world
Eminem,Hailies Song,And suddenly it seems like my shoulder blades have just shifted
Eminem,Hailies Song,"It's like the greatest gift you can get, the weight has been lifted"
Eminem,Hailies Song,Now it don't feel like the world's on my shoulders
JAY-Z,Grammy Family Freestyle,"The writing's on the wall like my lady, right baby?"
JAY-Z,Grammy Family Freestyle,"Like a fox, I'm cagey, ah-ah"
Yung Joc,Coffee Shop,First I take they order like the coffee shop (HEY)
Yung Joc,Coffee Shop,Then I steam it up and cook it like the coffee shop (HEY)
Yung Joc,Coffee Shop,And then I serve it out the window like the coffee shop (HEY)
Yung Joc,Coffee Shop,"And now we doin numbers, just like the close-out"
Yung Joc,Coffee Shop,First I take they order like the coffee shop (HEY)
Yung Joc,Coffee Shop,Then I steam it up and cook it like the coffee shop (HEY)
Yung Joc,Coffee Shop,And then I serve it out the window like the coffee shop (HEY)
Yung Joc,Coffee Shop,First I take they order like the coffee shop (HEY)
Yung Joc,Coffee Shop,Then I steam it up and cook it like the coffee shop (HEY)
Yung Joc,Coffee Shop,And then I serve it out the window like the coffee shop (HEY)
Yung Joc,Coffee Shop,First I take they order like the coffee shop (HEY)
Yung Joc,Coffee Shop,Then I steam it up and cook it like the coffee shop (HEY)
Yung Joc,Coffee Shop,And then I serve it out the window like the coffee shop (HEY)
Wale,Pretty Girls,"Girl so fine, wanna ride me like a Huffy (Yeah)"
Wale,Pretty Girls,"Boss in my Hugo, floss like my tooth hurt"
Black Milk,Deadly Medley,"Like a rolling stone, I lay the hat in many homes"
Black Milk,Deadly Medley,I'll challenge some vet and stick it to him like a drum set
Black Milk,Deadly Medley,Clap the matic; I'll flip like an acrobatic
Black Milk,Deadly Medley,Like the iron I rely on that lie in the dresser (Ugh)
Black Milk,Deadly Medley,To ever try to handle me like a piano key
Made Men,Just You and I,From a game played out like a Sega gift
Slaughterhouse,Onslaught 2,"He was full of 'gnac and rum, like a bully acting dumb"""
Slaughterhouse,Onslaught 2,"And I get 'em all, I ball like the nigga I am"
Slaughterhouse,Onslaught 2,"Hold that mic like the Statue of Liberty, I deserve"
Slaughterhouse,Onslaught 2,Like a shot from Angelina Jolie's gun; think Joey the one
J. Cole,The Last Stretch,Pay dues like a hair salon
J. Cole,The Last Stretch,My way like a Usher song
J. Cole,The Last Stretch,'Til it's like a mile long
J. Cole,The Last Stretch,"So why I'm here, and now you talking like a little girl?"
50 Cent,I Get It In,"Shorty get to dropping it low, like the dancers do"
Infamous Delinquents,Cannabis Savages,Life is like a movie where I mercilessly shoot every scene
Infamous Delinquents,Cannabis Savages,Trash like an old pair of socks
Masta Ace,Last Bref,Hoping that my song get a buzz like a beehive
Masta Ace,Last Bref,Stand up and shock ya with hella flows like a copter
Masta Ace,Last Bref,As soon as a nigga drops the ball like a running back
Made Men,Is It You? Deja Vu Remix,"Twist you like a braid, canary glaze that's made"
Eric B. & Rakim,Run for Cover,"Take over they route, play 'em out like a cub scout"
Eric B. & Rakim,Follow the Leader,And you can picture like a photo
Eric B. & Rakim,Follow the Leader,"I'll be here when it fade, I'll watch you flip like a renegade"
Lil Wayne,Shoot Me Down,"Drum, sound like a naked gun, switch clips with my thumb"
Project Pat,Cheese and Dope,"But you shall get sliced, like a throat, with a swisher blade"
Project Pat,Cheese and Dope,"Treat any bitch, just as same as a nigga too"
Project Pat,If You Aint From My Hood,To you crosses in my click I'mma treat you like a ho
The Lady of Rage,Afro Puffs Extended Remix,I fly through the sky like a dove once again
The Lady of Rage,Afro Puffs Extended Remix,I treat them the same -- it's like the boom bam
The Lady of Rage,Afro Puffs Extended Remix,"I flow like a monthly, you can't cramp my style"
Lil Wayne,New Cash Money,And we gon tie the shit up like a shoelace (Ugh)
Lil Wayne,Feel Me,"If you don't like my shit, then fuck you and your shit, man, straight up"
Lil Wayne,Got Money,I see her boyfriend hatin' like a city cop
JAY-Z,La-La-La Excuse Me Miss Again,And I'm the franchise like a Houston Rocket
Usher,DJ Got Us Fallin in Love,I feel like a zombie
Usher,DJ Got Us Fallin in Love,Mami got me twisted like a dreadlock
Blind Melon,No Rain,You don't like my point of view
MF DOOM,One Beer,"I crush the mic, hold it like the heat, he might toss it"
MF DOOM,One Beer,Take it from the dude who wear a mask like a 'tarded helmet
MF DOOM,One Beer,Bring heat like the boy done gone to war
Gucci Mane,Gucci Time,Amazing like my bracelet I'm flossing
Green Day,Welcome to Paradise,For some strange reason it's now feeling like my home
Green Day,Welcome to Paradise,For some strange reason it's now feeling like my home
DOM KENNEDY,1997,"Catch me on Pico, I am like the Lucy's"
DOM KENNEDY,1997,"Give it to em raw, I am like the sushi"
DOM KENNEDY,1997,But that just might have went over yo head like a kufi
Lil Wayne,New Orleans Maniac,"She wanna come kick it like a dojo, uh-oh"
Lil Wayne,New Orleans Maniac,"Slick nigga, fuck 'em, then I drop 'em like a low-low"
Lil Wayne,New Orleans Maniac,"Just like the ice you wearing, you fugazi"
Das Racist,Rainbow in the Dark,Something like a neo-rap Zack Attack
Das Racist,Rainbow in the Dark,Like a tree or the tears of a clown
Das Racist,Rainbow in the Dark,Second Latin rapper to like the Beatles
Das Racist,Rainbow in the Dark,You couldn’t see me like a Cuban playing hockey
Das Racist,Rainbow in the Dark,Me I look a little something like a young Shock G
Das Racist,Rainbow in the Dark,Like the rainbow in the Ronnie James Dio joint
Kanye West,The Glory,And be looked at like a fucking hero
Lil Wayne,Yes,Red Viper slither through the street like a red snake
Lil Wayne,Yes,Red diamonds in my chain lookin' like a red snake
Made Men,Classic Limited Edition,Break handcuffs then i rock'em like a braclet
Made Men,Classic Limited Edition,"We castle like a wolf move in, leave you shook"
Made Men,I Wanna Made Man,And make off like a thief with a bag of ice
Made Men,I Wanna Made Man,For the whole night I shine like a strobe light
Made Men,I Wanna Made Man,Go 0 to 60 like a 740
Nas,Revolutionary Warfare,I'm like a modern day Hitler
JAY-Z,In My Lifetime Remix,"I'm like the bass with the ass, splashin' cold cash"
JAY-Z,In My Lifetime Remix,Bones get disconnected like the phones
JAY-Z,In My Lifetime Remix,"Like the Garden, all my penpals life controlled by the warden"
Guns N' Roses,Paradise City,"You treat it like a capital crime, everybody's doing the time"
King Los,Run This Town Remix,"Bet I keep this bitch running, like a Diddy assistant"
Lloyd Banks,Work Magic,Jabs will black his eyes like the R. Kelly mask
Lloyd Banks,Work Magic,Will have yo head lookin' like the top of a pistachio
Nicki Minaj,Itty Bitty Piggy,Don't be actin' like the Cardinals and gon' fumble
Nicki Minaj,Itty Bitty Piggy,"I'm the only thing hoppin', like a kangaroo"
Nicki Minaj,Itty Bitty Piggy,"I mean the only thing poppin', like a can of brew"
Tyga,Just Lean,Trust me I have seen the days when the sun would burn like a perm
Tyga,Just Lean,"Miss Little Tenant, I be in it like a landlord evicting"
Canibus,Master Thesis,Trap my adversaries like a mouse in a maze
Canibus,Master Thesis,You gotta be as obsequious as the Disciples of Jesus
Canibus,Poet Laureate,As I grow older I get colder like the declining climate
Canibus,Canibus Man,"The overseas block busta, bustin up blocks like the Tiguska meteorite to hit Russia"
Canibus,Canibus Man,"As barren as Las Vegas, as barren as the wombs of women who use artificial insemination"
Lil Wayne,Oh Let’s Do It,"""What's up?"" to my gang, big B's like a Breitling"
OutKast,Babylon,"Like the niggas who owned the liquor store, crack cocaine, pimps and whores"
Eminem,Rabbit Run,I'm like a skillet bubblin' until it filters up
Eminem,Rabbit Run,"They hate me, see me and shake like a chain-link fence"
Misfits,Bullet,"Like a dry desert soakin' up the rain, soakin' up the sun"
Misfits,Bullet,"Like a dry desert soakin' up the rain, soakin' up the sun"
Cam'ron,Hey Lady,And put your meat on my stick like a shish-kebab {hey lady}
Cam'ron,Hey Lady,"Like a bull and matador, the two gon' tangle {hey lady}"
OutKast,ATLiens,"'Cause when we step up in the party; like a mouse, you scurry"
OutKast,ATLiens,"Like you made the B team, and like your daddy's wife you making that coffee"
Big L,Now or Never,And every girl I got looks like a model
Kanye West,G.O.O.D. Friday,"The streets are like the high road that I go across, ugh"
Kanye West,G.O.O.D. Friday,The mood swings like the change of a channel
2Pac,Starin Through My Rear View,Stay down like the truest
Animal Collective,My Girls,Like a social status
Animal Collective,My Girls,Like a social status
Animal Collective,My Girls,Like a social status
Animal Collective,My Girls,Like a social status
Animal Collective,My Girls,Like a social status
Animal Collective,My Girls,Like a social status
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,"I like the way you look in them pants, see ya fine (Fine)"
Chingy,Right Thurr,I swooped on her like an eagle swoop down on its prey
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way she doin' that (C'mon)
Chingy,Right Thurr,I like the way she doin' that (C'mon)
Chingy,Right Thurr,"Make it hop, boing, like a bunny (Bunny)"
Chingy,Right Thurr,It's like a picture-perfect site
Chingy,Right Thurr,But I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Right Thurr,I like the way you do that right thurr (Right thurr)
Chingy,Holidae In,"Fuck it then, feel like my head is toxic waste"
Chingy,Holidae In,"I swing it like a bat, but these balls are not Wiffle"
JAY-Z,BK Anthem,"But we respect real, you act like a sheep, you gon' be the next meal"
J. Cole,Villematic,Plus my dick is like a man with a mind of it’s own
Eminem,Same Song  Dance,"I like the way you move, all over the globe"
Eminem,Remember Me?,'Cause I'll hit your ass like the train did that bitch
Nas,Hip Hop Is Dead,"So like my girl Foxy, the kid went deaf"
D-Lo,You Played Me,And now I'm gettin money like a nigga be playin' with it
Holy Bible (KJV),John 1,"John 1:32: And John bare record, saying, I saw the Spirit descending from heaven like a dove, and it abode upon him."
Kanye West,Runaway,I'm so gifted at finding what I don't like the most
Kanye West,Runaway,I'm so gifted at finding what I don't like the most
Kanye West,Runaway,I'm so gifted at finding what I don't like the most
Mac Dre,Too Hard for the Fuckin Radio,"To talk bad about suckers, I don't like the fools"
Wyclef Jean,Sweetest Girl Dollar Bill,She wears a dress to the T like the letter
Wale,Wonder Why,You ain't the reason why they came like the fries at hooters
Wale,Wonder Why,"Seen blood, sweat and tears like a locker room"
Wale,Wonder Why,From gettin' the jimmy like a car thief is
Sir Mix-a-Lot,Posse On Broadway,Maharaji's on the def side dancing like a freak
Eminem,Crazy In Love,"You make me crazy, you make me act like a maniac"
Eminem,Crazy In Love,"I'm like a lunatic, you make me sick"
Eminem,Crazy In Love,"Like a devil in disguise, you're always full of surprises"
Eminem,Crazy In Love,"You're like the pillar that props me up, the beam that supports me"
Eminem,Crazy In Love,"You're like the root to my evil, you let my devil come out me"
O.C.,No Main Topic,Bust your ego on down like a blister
O.C.,Born 2 Live,"Like the dead-end kids, we used to play in the streets"
O.C.,Born 2 Live,"For Little League Baseball like a hour before, plus"
O.C.,Born 2 Live,"How close you are, like a scar"
Pudgee tha Phat Bastard,How U Feel About That - 38090,"Like an addict, you are what describe with an addiction"
Pudgee tha Phat Bastard,How U Feel About That - 38090,And let it all hang out like a bitch without a bra
Pudgee tha Phat Bastard,How U Feel About That - 38090,Now you're gettin treated like a door to door salesman
Prince and the Revolution,When Doves Cry,Maybe I'm just like my father: too bold
Prince and the Revolution,When Doves Cry,Maybe you're just like my mother
Prince and the Revolution,When Doves Cry,Maybe I'm just like my father: too bold
Prince and the Revolution,When Doves Cry,Maybe you're just like my mother
Prince and the Revolution,When Doves Cry,"Maybe I'm just like my father: too bold (My father, you know he's cruel)"
Prince and the Revolution,When Doves Cry,Maybe you're just like my mother (Maybe you're just like my mother)
Clipse,Showing Out,"Old school Chevy, wide body like a Phantom"
Clipse,Showing Out,Hit it then I quit it then I step like a welcome mat
Eminem,Crack a Bottle,"Don't act like a snobby model, you just hit the lotto"
Eminem,Crack a Bottle,"Don't act like a snobby model, you just hit the lotto"
Eminem,Crack a Bottle,"Don't act like a snobby model, you just hit the lotto"
Eminem,Crack a Bottle,"Don't act like a snobby model, you just hit the lotto"
Big Sean,Too Fake,"And these fools be trippin’ like a suitcase, a shoelace"
Big Sean,Too Fake,Boy gotta hustle like a flip or pack
Kanye West,Lord Lord Lord,Them other niggas have you looking like a squirrel
Digital Underground,Doowutchyalike,"Ah, ah, ah, I feel like a nice big bowl of cereal, icy cold milk"
Digital Underground,Doowutchyalike,"[S.G.] A shy girl, or loud like a bama"
Lil Wayne,I Am Not a Human Being,And y'all's a bunch a squares like a mothafuckin' grid
Lil Wayne,I Am Not a Human Being,"Y'all can't see us, like the bride's shoes"
Lil Wayne,I Am Not a Human Being,Strong-arm rap like a nigga did a hundred curls
Lupe Fiasco,Dear Fall,I mean drop like the temperature
Lupe Fiasco,Dear Fall,Self-esteem will make a Regal ride like a Silver Seraph
Kanye West,Heard Em Say,So I guess we just pray like the minister say
Chiddy Bang,Fresh Like Us,"I be grindin’ like a dancer, flow rarer than pandas"
Chiddy Bang,Fresh Like Us,She funny like a episode of the Boondocks
Chiddy Bang,Fresh Like Us,"Hey, like my girls French, like Louie V and Cartier"
The Doors,The Severed Garden,Like a scaring over-friendly guest
John Legend & The Roots,Wake Up Everybody,I try to write a song as sweet as the Psalms
Rick Ross,Maybach Music III,I came alive like a moth in the summertime (Ugh)
Rick Ross,Maybach Music III,"Money machines, yeah, they rrring! like a mobile phone"
Lil Wayne,Gonorrhea,Sound like my mic is right
Lil Wayne,Gonorrhea,"Diva in the room, she blowing me just like a band horn"
Lil Wayne,Gonorrhea,And a flag the color red like a fucking low battery
Lil Wayne,Gonorrhea,"The money keep growing, yep, it's growing like a Chia"
Charles Hamilton,Just a Musician,Me and you is like a UFO landin' on a tonka
Wale,Hold Yuh Freestyle,"I like a down-lookin', all for it, flower bomb"
J. Cole,Dead Presidents II,Make the hoes get loose like a noose neck
J. Cole,Dead Presidents II,"Clever with it, my flow like a devil spit it and heaven sent it"
J. Cole,Dead Presidents II,"Try not to show stress, I guess the flow is protested like a sit in"
J. Cole,Dead Presidents II,Stay behind like a shadow or you catapult
J. Cole,Dead Presidents II,"I can't stop, I'm as hot as the devils shoes"
J. Cole,Dead Presidents II,Try not to let it wear me out like a bad bitch with fashion sense
OG Ron C,My Life,"Like a whole bunch of black folks, with no place to stay"
O.F.T.B.,I Aint From Compton,Hittin your city like a demon on the loose
De La Soul,Oodles of Os,And now with respect they flex like a pro
De La Soul,Oodles of Os,Charging barricades like a raging rhino
Deltron 3030,3030,Del I'm feeling like a ghost in a shell
Nas,No Idea’s Original,The chain be like a hundred K
Coolio,Gangstas Paradise,"Me be treated like a punk, you know that's unheard of"
Kanye West,So Appalled,A half a mil' in twenties like a billion where I'm from
Kanye West,So Appalled,I wear my pride on my sleeve like a bracelet
Kanye West,So Appalled,"My movement is like the Civil Rights, I'm Ralph David"
Pudgee tha Phat Bastard,Keep Your Coat On - 38091,"Be in the ""Next Generation"" just like a Star Trek (Captain Kirk)"
Lil Wayne,With You,Keep playing and I'ma eat her like a pita roll
Lil Wayne,With You,We at the pool and she looking like a center fold
Lil Wayne,With You,And when I came she caught me like a common cold
Lil Wayne,With You,Shawty I'm a pro and you are looking like the prototype
Lil Wayne,With You,"Appetite for loving, ma I'm hungry like a scavenger"
Lil Wayne,With You,Then I gotta go under that water like a mariner
Lil Wayne,Bill Gates,"Dress like a skater, ride on you like Shaun White"
Wale,TV in the Radio,"Though, everybody's on me like the Milli beat partner"
Wale,TV in the Radio,Under pressure I don't sweat like my pores shut
Pharoahe Monch,Desire,And I protect my name like your anus
Earl Sweatshirt,Couch,While I am poppin' like a snappin' crack
Earl Sweatshirt,Couch,Flowin' like the blood out the competition's slit wrists
Earl Sweatshirt,Couch,Flowin' like the creampie inside of your daughter
Drake,Im Ready For You,"I'm ready, I'm wit it, still here like a statue"
