artist,song,signified,signifier,line
"Royce da 5'9""",Boom,tragic,the havoc of a nuclear bomb,"""Tragic like the havoc of a nuclear bomb"""
"Royce da 5'9""",Boom,tragic,the havoc of a nuclear bomb,"""Tragic like the havoc of a nuclear bomb"""
"Royce da 5'9""",Boom,tragic,the havoc of a nuclear bomb,"""Tragic like the havoc of a nuclear bomb"""
Bone Thugs-N-Harmony,Thug Luv,nigga,me,And a nigga like me gotta stay high
Geto Boys,Mind Playing Tricks on Me,cane,my own,A black suit and a cane like my own
50 Cent,P.I.M.P.,b'ness,show bness,"Yeah, in Hollywood they say, ""There's no b'ness like show b'ness"""
50 Cent,P.I.M.P.,b'ness,ho bness,"In the hood they say, ""There's no b'ness like ho b'ness"", you know?"
Common,The Food,moments,the camcorder,Moments like the camcorder
The Roots,Now or Never,thing,Spike,"I fuck around, do the right thing like Spike now"
Cam'ron,More Reasons,golf,golf,"Not golf but like golf, he had plenty gophers"
Cam'ron,More Reasons,fame,Dana Dane s ( cocaine,But 'caine fame's like Dana Dane's (cocaine)
Rakim,It’s Been a Long Time,travel,an arrow,"Far from shallow, thoughts travel like an arrow"
Rakim,It’s Been a Long Time,property,Muammar Gaddafi,You know Ra want property like Muammar Gaddafi
Rakim,It’s Been a Long Time,scatter,a rifle,"A sawed-off mic, so words scatter like a rifle"
Rakim,It’s Been a Long Time,kids,the pyramids,Cursed kids like the pyramids when they found the style
Rakim,It’s Been a Long Time,vivid,CD - Rom,"Like 3D in ‘Nam, vivid like CD-Rom"
Rakim,It’s Been a Long Time,bond,the Holy Quran,My notebook’s my bond like the Holy Quran
Nas,Got Ur Self a...,interviews,that,"Hop in my coupe, dodge interviews like that"
OutKast,A Life in the Day of Benjamin André Incomplete,road,Jack,We hit the road like Jack
OutKast,A Life in the Day of Benjamin André Incomplete,fit,glove,"Fifteen-love, fit like glove"
OutKast,A Life in the Day of Benjamin André Incomplete,girl,that,"Do that girl like that, boy? You ought to be ashamed"""
Lupe Fiasco,The Coolest,grails,a fool,And seek unholy grails like a fool
Saul Williams,Penny for a Thought,hair,a mane with an outstretched hand,Hair like a mane with an outstretched hand
Saul Williams,Penny for a Thought,something,Rakim,Something like Rakim said:
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,'Cause a brother like me said well
Above the Law,Murder Rap,brother,me,Cause a brother like me said well
The Coup,My Favorite Mutiny,cut,truancy,This the cut like truancy
R. Kelly,Ringtone,spin,wheels on Jeeps,"Kells ""spin"" it on you like wheels on Jeeps"
"Royce da 5'9""",Im Me Freestyle,green,Stan Lee,So I make green off Green like Stan Lee
"Royce da 5'9""",Im Me Freestyle,iron,a vitamin,"Give a nigga iron like a vitamin, play"
Omen (Producer),Overdose,trooper,a gun - totin  handyman,Super trooper like a gun-totin' handyman
Lil Wayne,One Way Trip,breakfast,a muhfucker,Kick her ass out and have breakfast like a muh'fucker
Drake,Best I Ever Had,show,a mascot,"Every single show, she out there reppin' like a mascot"
Cam'ron,Get Ya Gun,mil,"David Chappelle , my paper propel","Fifty mil like David Chappelle, my paper propel"
Kevin Rudolf,I Made It Cash Money Heroes,lookin,my motha,"Came from the gutter, lookin' like my motha"
Wale,Beautiful Bliss,socks,them,"And yeah, we heard you got it locked but like them socks, we on your heels"
Wale,Beautiful Bliss,punchlines,gut checks,"My punchlines like gut checks I'm raw-dog, I'm rough sex"
J. Cole,Simba,somethin',the light - skin version,I'm somethin' like the light-skin version
J. Cole,A Star is Born BET Performance,glow,a lil  Lightsaber,"Cole, you got a glow like a lil' Lightsaber"
Dom Pachino,Say Ya Prayers,movement,the Million Man,"The movement, sorta like the Million Man"
Skillz,Ugly Freestyle,minds,Eve,"Blow minds like Eve, cuz I don't care"
Cassidy,A.M. to P.M.,songs,movies,My songs like movies you can see 'em when you play them
Cassidy,A.M. to P.M.,me,Malcolm and Elijah Muhammad,Me and T like Malcolm and Elijah Muhammad
Cassidy,A.M. to P.M.,swizz,Martin and Jesse,Me and Swizz like Martin and Jesse
Lil Wayne,I Cant Feel My Face,good,Meagan,"But it's cool, I'ma make it, I'm good like Meagan"
Kanye West,Touch the Sky,body,Mrs. Butterworth,Bottle-shaped body like Mrs. Butterworth
J. Cole,Lights Please,somethin',them,"Yeah, I had this little bad thing, somethin' like them tens"
J. Cole,Lights Please,somethin',The Wiz,"She gave a nigga mad brain, somethin' like The Wiz"
J. Cole,Lights Please,dummy,a bitch,"Is the chick ain't even have brains, dummy like a bitch"
J. Cole,Lights Please,nigga,yo,"Alright, if y'all niggas heard the first one, The Come Up and shit, then you would have heard part 1 of this joint right here. It's ""Dead Presidents"", you know classic nigga, that's classic Jay shit. So I did it, threw it on the first mixtape, this is about a year ago. We let niggas hear like you know the mixtape whatever, and there was always this one nigga that stuck out to me like a year ago. This nigga's like ""yo"". like I thought I did my thing on this shit, that was like two of my favorite verses that I did, but he was just like ""Yo"", like, ""Yo you didn't come right man. If you gon' come on Dead Presidents son, you gotta come, hard son, you gotta come harder than that son, you gotta come harder than that."" I was like, man what you mean I came hard? But, that shit always stuck in my mind, so doing this next, you know, doing this The Warm Up I was like, damn, I gotta get on it again, I gotta do it again. Just almost like, just to prove to that nigga and kinda prove to myself that you I can, I can maybe get a little..."
Rick Ross,Free Mason,valuable,gifts of gold,Ancient wisdom valuable like gifts of gold
Kanye West,Gone,sides,Anakin,But if they ever flip sides like Anakin
Nicki Minaj,Your Love,convict,Akon,Convict just like Akon
Nas,Thiefs Theme,nobody,a snitch,"Nobody like a snitch, everybody shut they mouth"
Nas,Thiefs Theme,movies,Tony Montana,"We saw the movies, like Tony Montana, and 'em"
Goodie Mob,I Didnt Ask to Come,thick,dat fog,Til it's thick like dat fog
Kanye West,Champion,act,Princed,I guess I cleaned up my act like Prince'd do
JAY-Z,Young Forever,life,a video ( video,So we living life like a video (video)
Eminem,Drug Ballad,stickin,a dinosaur,Shit's stickin' out of our backs like a dinosaur
Eminem,Ridaz,rushin,a geyser gushin,Adrenaline's rushin' through us just like a geyser gushin'
Eminem,Ridaz,slap,a female,You catch an open hand slap like a female like bap
Atmosphere,GodLovesUgly,scars,the rings on a pimp,I wear my scars like the rings on a pimp
Atmosphere,GodLovesUgly,life,the captain of a sinking ship,I live life like the captain of a sinking ship
Atmosphere,Hair,bands,us,See bands like us don't get groupies
2Pac,Picture Me Rollin,free,O.J.,"Free like O.J. all day, you can't stop me"
Immortal Technique,Dance with the Devil,niggas,this,"You see, me and niggas like this have never been equal"
Immortal Technique,Dance with the Devil,major,the cut throats and the thugs,He wanted to be major like the cut throats and the thugs
Immortal Technique,Dance with the Devil,naked,children walkin  through Antarctica,"Like children walkin' through Antarctica, butt-naked"
Lil Wayne,Let the Beat Build,nappy,Pam,Hair nappy like Pam
UGK,The Game Belongs to Me,yayo,Dontrelle Willis ( What ? ),"Pitching yayo like Dontrelle Willis (What?), we the trillest"
OutKast,Roses,somebody,that,Tryna hurry up to get to a baller or singer or somebody like that
Nas,Be A Nigger Too,clique,Freemasons,Clique still movin' like Freemasons
50 Cent,P.I.M.P G-Unit Remix,business,show business,"In Hollywood, they say ""there's no business like show business"
50 Cent,P.I.M.P G-Unit Remix,business,ho business,"In the hood, they say, ""there's no business like ho business"""
The Game,Its Okay One Blood Remix,play,Puff,"I press play like Puff, no pause at all"
The Game,Its Okay One Blood Remix,nigga,spades and pinochle ( Nigga,"They hold cards down, nigga, like spades and pinochle (Nigga)"
The Game,Its Okay One Blood Remix,presence,the return of Rayful,My celebrated presence like the return of Rayful
The Game,Its Okay One Blood Remix,movin,coke,With money movin' like coke these days gotta re-up
Rick Ross,Mafia Music,debacles,potholes in Jamaica,I'm dodgin' debacles like potholes in Jamaica
Charles Hamilton,Brooklyn Girls,nothing,a Brooklyn girl,(They ain't nothing like a Brooklyn girl)
Charles Hamilton,Brooklyn Girls,nothing,a Brooklyn girl,(They ain't nothing like a Brooklyn girl)
Charles Hamilton,Brooklyn Girls,nothing,a Brooklyn girl,(They ain't nothing like a Brooklyn girl)
Charles Hamilton,Brooklyn Girls,nothing,a Brooklyn girl,(Damn sure ain't nothing like a Brooklyn girl)
Charles Hamilton,Brooklyn Girls,nothing,a Brooklyn girl,(D-Damn sure ain't nothing like a Brooklyn girl)
Charles Hamilton,Brooklyn Girls,ballin,the Lakers,Baby girl ballin kinda like the Lakers
Reflection Eternal,Just Begun,countin,Monte Cristo,"They snitchin' like Donnie Brasco, I'm countin' like Monte Cristo"
Reflection Eternal,Just Begun,hittin,Muhammad Ali,"Hittin' like Muhammad Ali, you more like Tatyana"
Reflection Eternal,Just Begun,prophets,Islamics or the Dalai Lama,We follow the prophets like Islamics or the Dalai Lama
2Pac,How Do U Want It,ones,we,Like we the first ones to bomb and cuss
JAY-Z,Threat,drivin,Halle Berry,"But catch me down the Westside, drivin' like Halle Berry"
The Coup,Nowalaters,seventeen,chicken and some gravy,"Seventeen, all on you like chicken and some gravy"
The Coup,Nowalaters,seventeen,chicken and some gravy,"Seventeen, all on you like chicken and some gravy"
The Coup,Nowalaters,seventeen,chicken and some gravy,"Seventeen, all on you like chicken and some gravy"
JAY-Z,Change Clothes,peace,a Buddhist,Gotta keep a peace like a Buddhist
Rick Ross,Maybach Music II,denim,a slender nigga,"Any winter, Fendi denim like a slender nigga"
Gucci Mane,Heavy,girl,a motherfuckin  hooker ( Skrrt,I pimp that white girl like a motherfuckin' hooker (Skrrt)
Gucci Mane,Heavy,birds,"Atlanta zoo , bitch , who are you","I got birds like Atlanta zoo, bitch, who are you?"
Gucci Mane,Heavy,goons,a scary movie,"I got goons like a scary movie, yeah, that is true"
Afu-Ra,God of Rap,ya,"the police , sprayin","Blind ya like the police, sprayin' that mace, kid"
Gucci Mane,All About The Money,work,the New Boys,"300K, my paper work just like the New Boys ""I'm a jerk """
Gucci Mane,All About The Money,work,"babe and them ,","I got work like babe and them, a Geto Boy like 'Face and them"
Jamie Foxx,Digital Girl Remix,paths,an intersection,We would cross paths like an intersection
Jamie Foxx,Digital Girl Remix,mags,Stacey Dash,In Playboy mags like Stacey Dash
Common,Southside,nigga,Steve Jobs,"A conscious nigga with mack, like Steve Jobs"
Common,Southside,tower,the Eiffel,"The un-American idol, tower like the Eiffel"
Common,Southside,black,the Disciples,"Lean with it, rock with it, Black like the Disciples"
Jay Electronica,Exhibit C,back,the Verizon man,That's why the people got my back like the Verizon man
Nas,It Aint Hard to Tell,stress,Motrin,"Delete stress like Motrin, then extend strong"
Nas,It Aint Hard to Tell,jam,a TEC,Jam like a TEC with correct techniques
Nas,It Aint Hard to Tell,end,Leviathan,"End like Leviathan, it's deep? Well, let me try again"
Nas,It Aint Hard to Tell,packin,a Rasta in the weed spot,Packin' like a Rasta in the weed spot
CunninLynguists,Seasons,ready,a groom in costume,"And masters ready for the cermony, like a groom in costume"
CunninLynguists,Seasons,costumes,the 31st of October,Til these cats started wearing shiny costumes like the 31st of October
Big Boi,Tangerine,fake,a prosthetic leg,Not fake like a prosthetic leg or prostitute
Big Boi,Tangerine,nigga,me,"Nothing, while a nigga like me be straight up royal flushing"
Black Eyed Peas,Anxiety,soul,Bin Laden,Terrorizing my soul like Bin Laden
Army of the Pharaohs,Seven,dirty,a damp basement,Down and dirty like a damp basement
Army of the Pharaohs,Seven,glare,dirty south pimp slap clap snares,"The mac glare like dirty south pimp slap clap snares, YEAH!"
Army of the Pharaohs,Battle Cry,reason,the life of a bird,"That's the reason that I'm fly, like the life of a bird"
Army of the Pharaohs,Battle Cry,raw,Marv Hagler,Cause I'mma stay rugged and raw like Marv Hagler
JAY-Z,Dead Presidents,money,Cosby,"""I want money like Cosby"" – who wouldn't?"
Kanye West,Get Em High,bounce,hydraulics,"My flow is in the pocket like wallets, I got the bounce like hydraulics"
Kanye West,Get Em High,swerve,alcoholics,"I can't call it, I got the swerve like alcoholics"
Kanye West,Get Em High,girl,Pastor Tro,And I will cut your girl like Pastor Tro'
Kanye West,Get Em High,clubs,Tiger Woods,Rock clubs like Tiger Woods in the hood
Kanye West,Get Em High,songs,these,Marsha's too sexy to even make songs like these
Kanye West,Get Em High,king,Simba,"Red across your head, I'm bred king like Simba"
MF DOOM,Thats That,grammar,the kumbaya,DOOM rock grammar like the kumbaya
2Pac,Against All Odds,lookin,Larry Holmes ( look at De La Soul,Niggas lookin' like Larry Holmes (look at De La Soul!)
Big Daddy Kane,Hold it Down,mic,Al Skratch,"When it's time to rock the mic like Al Skratch, I get ill"
Big Daddy Kane,Terra N Ya Era,catch,Tom & Jerry,You like to chase it playin catch like Tom & Jerry
Big Daddy Kane,Do U Really Know?,guys,you,But guys like you get bent apart
Big L,Deadly Combination,boy,The Notorious B.I.G,"A Bad Boy, just like The Notorious B.I.G"
Big L,Deadly Combination,fella,Shawn Carter,"A Rock-A-Fella, like Shawn Carter"
The Game,My Life,drama,M.J.B.,And like M.J.B. no more drama now
The Game,My Life,empty,a Glock,My life used to be empty like a Glock without a round
The Game,My Life,full,a chopper,Now my life full like a chopper with a thousand rounds
The Game,My Life,niggas,me,But it's real niggas like me that make the hood
Talib Kweli,Get By,cuss,a sailor,"Ask Him why some people gotta live in a trailer, cuss like a sailor"
Ghostface Killah,Mighty Healthy,script,Miramax,"Move, every script's like Miramax"
Drake,Ransom,cash,"Johnny , Banks Ashley","Cash like Johnny, Banks like Ashley"
Big L,Da Graveyard,niggas,incense,"The Big L be lightin' niggas like incense, gettin' men lynched"
Big L,Da Graveyard,back,a knapsack,It's a fact that I'll be on your fuckin' back like a knapsack
Big L,Da Graveyard,wreck,Das EFX,Wreck like Das EFX straight out the fuckin' sewer
Big L,Da Graveyard,night,Redman,I get hype tonight's the night like Redman
Lupe Fiasco,Sunshine,day,this,Had a feeling that it would be a day like this
JAY-Z,Dig a Hole,niggas,Hov,"Niggas like, “Hov', why don’t you get at ol’ boy?”"
Blackalicious,Paragraph President,comet,Muhammad,I'm the comet like Muhammad with the verbal rope-a-dope
Chris Webby,La La La,smokin,Turtle,"In my own entourage, smokin' like Turtle"
Chris Webby,La La La,shit,Joan of Arc,Til we start to see shit like Joan of Arc
JAY-Z,On To The Next One,niggas,How come,"Hov' on that new shit, niggas like ""How come?"""
JAY-Z,On To The Next One,lookin,a owner,"Now I rock a tailored suit, lookin' like a owner"
Rick Ross,Aston Martin Music,feelin,all four members of Color Me Badd,Feelin’ like all four members of Color Me Badd
Rick Ross,Aston Martin Music,life,it,"And no, I’m not sayin’ I’m the nicest, I just live life like it"
Eminem,Insane,nuts,King Kong,That motherfucker's got nuts like King Kong
Eminem,Insane,movie,Nightmare,She showed me a movie like Nightmare on Elm Street
Lil Wayne,Upgrade,ton,Levy,I am bearing a ton like Levy
Lil Wayne,Upgrade,coach,Avery,"It's a new game, and I'm the coach like Avery"
Lil Wayne,Upgrade,dough,the bakery,"Leave it to the flow, we getting dough like the bakery"
Lil Wayne,Upgrade,green,a pod of peas,And I keep my pockets green like a pod of peas
Drake,Paris Morton Music,life,it,"And no, I'm not saying I'm the nicest, I just live life like it"
Bobby Brackins,143,buns,a burger,Lift that skirt up got buns like a burger
Diddy,Victory,graphic,Jurassic,"Graphic, tryin' to make dough, like Jurassic"
Wale,Chillin,eyes,honey on bees ( Yeah,Eyes all stickin' like honey on bees (Yeah)
Wale,Chillin,eyes,honey on bees ( Yeah,Eyes all stickin' like honey on bees (Yeah)
Wale,Chillin,high,planes,"And me, Cool & Dre gettin' high like planes"
Wale,Chillin,buzz,that nigga,'Til I got a buzz like that nigga Chris Mullin
Wale,Chillin,eyes,honey on bees ( Yeah,Eyes all stickin' like honey on bees (Yeah)
JAY-Z,Lost One,ways,Ben and J - Lo,So we parted ways like Ben and J-Lo
Big Daddy Kane,Uncut Pure,smell,Land OLakes,"Rhymes that be so butter, my breath smell like Land O'Lakes?"
Big Daddy Kane,Uncut Pure,mine,a finish line,"Diminish mine, runnin' through 'em like a finish line"
Cold 187um,Lost Angels L.A. L.A.,o.g.,my daddy and,I gotta be an O.G. like my daddy and my grandpappy
Cold 187um,Lost Angels L.A. L.A.,revenge,the Crow,I'm goin' revenge myself like the Crow...
Big Daddy Kane,Earth Wind  Fire,riot,Kaiser that,Cause a riot like Kaiser like that then I'm gone
Big Daddy Kane,Earth Wind  Fire,spot,Sinbad,"Instead I appear, and take your fuckin' spot like Sinbad"
Big Daddy Kane,Shame,artist,a corner workin  specimen,Playin' his artist like a corner workin' specimen
Big Daddy Kane,Shame,moves,Olajuwon,"Play like they beside you strong, and start to faking moves like Olajuwon"
50 Cent,Piggy Bank,ass,Jay,Cause I’ll do yo’ little ass like Jay did Mobb Deep
50 Cent,Piggy Bank,homey,your vocals,Yeah homey in New York niggas like your vocals
Lupe Fiasco,Pressure,boxer,a boxer s,'Cause it sag so low you can see boxer—like a boxer's
Celph Titled,Primos Four Course Meal,head,chemo,My flamethrower leave you bald head like chemo kids
Celph Titled,Primos Four Course Meal,vision,the Predator,"Heat vision like the Predator, I'm slaughterin' victims"
JAY-Z,Public Service Announcement,actors,movie directors (,I shoot at you actors like movie directors (*laughing*)
Drake,Congratulations,rappin,a Shepherd with the muzzle,I'm rappin' like a Shepherd with the muzzle off
Drake,Congratulations,deal,Weezy,"My deal like Weezy first week, one point somethin'"
JAY-Z,Encore,somethin',this,Then you gotta spit a little somethin' like this
M.I.A.,Lovalot,them,me,"Them no like me, me no like them"
Goodie Mob,Dirty South,school,Charles,"Mack town keeps growing, old school like Charles"
Goodie Mob,Dirty South,stankin,dem Lincolns in Piedmont Park,Stankin' like dem Lincolns in Piedmont Park
Clipse,Trill,show,Regis ( What ?,Nigga talk show like Regis (What?)
Clipse,Trill,redneck,Texas,I ain't mention the Rollie redneck like Texas
Common,Chapter 13 Rich Man vs. Poor Man,imperial,margarine,"The Imperial like margarine, I'm butter"
Common,Chapter 13 Rich Man vs. Poor Man,open,the vapors,"Open like the vapors, more pub than the papers"
Common,Chapter 13 Rich Man vs. Poor Man,live,stock,"Rhymes I exchange like stock, I'm live like stock"
Common,Chapter 13 Rich Man vs. Poor Man,dinero,Robert De Niro,"That's mucho dinero, like Robert De Niro"
Common,Chapter 13 Rich Man vs. Poor Man,hero,the sandwich,"A robber's dinero, a hero like the sandwich"
Common,Chapter 13 Rich Man vs. Poor Man,mills,Stephanie Mills,"A Manwich has mills like Stephanie Mills, dills like pickles"
Common,Chapter 13 Rich Man vs. Poor Man,stan,Lee,"I stan' like Lee, while you stagger like Lee"
Common,Chapter 13 Rich Man vs. Poor Man,ish,a magnet,Most likely I'll dagger that bull-ish I pull ish like a magnet
Common,Chapter 13 Rich Man vs. Poor Man,fresh,a mint from mint,I stay fresh like a mint from mint
Common,Chapter 13 Rich Man vs. Poor Man,friendly,"an officer , friendly and a gentleman","Real friendly like an officer, friendly and a gentleman"
Common,Chapter 13 Rich Man vs. Poor Man,friendly,"neighbors , not","Friendly like neighbors, not Jim"
Lauryn Hill,Doo Wop That Thing,weaves,Europeans,"Look at where you be in, hair weaves like Europeans"
Lupe Fiasco,The Instrumental,instrumental,that,And just left this instrumental like that
Nas,Theifs Theme,nobody,a snitch,"Nobody like a snitch, everybody shut they mouth"
Nas,Theifs Theme,smellin,"trees ,","Smellin' like trees, sensimille on the brain"
Nas,Theifs Theme,movies,Tony Montana,"We saw the movies, like Tony Montana, and 'em"
Ludacris,My Chick Bad Remix,fresh,lettuce,Jimmy Choo fetish keep me fresh like lettuce
Ludacris,My Chick Bad Remix,pussy,Fiji,Ass so fat and the pussy like Fiji
2Pac,Keep Ya Head Up,feelin,black,He had me feelin' like black was the thing to be
DJ Quik,Dollaz  Sense,shakin,a crap game,"When I caught you at the airport, shakin' like a crap game"
DJ Quik,Dollaz  Sense,slick,a snake,Slick like a snake 'cause I stuck ya
DJ Quik,Dollaz  Sense,fuckin,a nervous wreck,"You fuckin' coward, tremblin' like a nervous wreck"
Goodie Mob,The Day After,smellin,shit in a glass jar,Smellin' like shit in a glass jar
Goodie Mob,Fighting,prayin,a mantis everyday,Prayin' like a mantis everyday ain't good in the woods of Southwest
Kid Cudi,Dat New New,shit,mine,Hot shit like mine
Kid Cudi,Dat New New,shit,mine,Hot shit like mine
Kid Cudi,Dat New New,shit,mine,Hot shit like mine
Kid Cudi,Dat New New,shit,mine,Hot shit like mine
Kid Cudi,Dat New New,shit,mine,Hot shit like mine
Kid Cudi,Dat New New,shit,mine,Hot shit like mine
Ace Hood,Cash Flow,bloody,a Tampax,"If you ain't got it, leave you bloody like a Tampax"
Ace Hood,Cash Flow,bounce,a 64,Make his body bounce bounce like a 64
Ace Hood,Cash Flow,shots,a New Year s Day blast,Bust shots like a New Year's Day blast
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Snoop Dogg,Candy Drippin Like Water,drippin,water,"You want 'em? I got 'em, drippin' like water"
Hi-Tek,Money Dont Make U Rich,favorite,the Bearcats,Hometown favorite like the Bearcats win the zone
The Lady of Rage,Super Supreme,beats,a Yama,I ride beats like a Yama'
The Lady of Rage,Super Supreme,pause,"comma , HAH","Cause more drama than your baby's momma, PAUSE like comma, HAH"
The Lady of Rage,Super Supreme,chop,an axe,"Chop chop, like an axe, my vocals stickin like thumbtacks"
The Lady of Rage,Super Supreme,lyrics,venereal diseases,Drip burnin lyrics like venereal diseases
Lakim Shabazz,Ladies,audi,gowdy,"Said, ""See ya baby, I'm Audi like gowdy"""
Lakim Shabazz,Ladies,things,that,Bamboo earrings and things like that don't phase me
Lakim Shabazz,Ladies,things,that,Bamboo earrings and things like that don't phase me
Lakim Shabazz,Ladies,things,that,Bamboo earrings and things like that don't phase me
Lupe Fiasco,Go Go Gadget Flow,me,Sega Genesis,"All me, no ghost, no 16-bit like Sega Genesis"
Lupe Fiasco,Go Go Gadget Flow,movin,a nigga supposed,Movin like a nigga supposed to
Lupe Fiasco,Go Go Gadget Flow,movin,a nigga supposed,Movin like a nigga supposed to
Lupe Fiasco,Go Go Gadget Flow,baby,a safety,A 80s baby on fire like a safety off
Lupe Fiasco,Go Go Gadget Flow,movin,a nigga supposed,Movin like a nigga supposed to
Apathy,Welcome to Assholeville,its,Christ,Spitting so precise its like Christ has arisen when he writes
Apathy,Welcome to Assholeville,influence,influenza,Influence like influenza when I spread in ya centre
Snoop Dogg,2 Minute Warning,lost,a runaway,"Sometimes I feel lost like a runaway, read over the dire"
Snoop Dogg,2 Minute Warning,richard,Pryor,Reap while I stay gettin Richard like Pryor
Snoop Dogg,2 Minute Warning,beam,a M&M,Pop a beam like a M&M
2Pac,Thug Passion,tremblin,Death,Thug passion got you tremblin' like Death on the Row (Yeah)
Lupe Fiasco,That Funny Feeling,heads,the King of Clubs,You gone need two heads like the King of Clubs just to figure out the meaning of
Blackalicious,Make You Feel That Way,conscious,health,Eating right feeling conscious like health is first
"Royce da 5'9""",Malcolm X,grill,a fuckin truck,"That's good, cause you got a grill like a fuckin truck!"
Eminem,My Darling,noise,a snake,"Full of poison, and make a noise like a snake before I kill 'em"
Eminem,My Darling,kids,you,Ain't even sure if your kids like you
Hilltop Hoods,Sojourn,pains,the winter rains,Sending you pains like the winter rains
Lil Jon & The East Side Boyz,Get Low,pussy,this,A-pop your pussy like this
Lupe Fiasco,Superstar,holiday,lady who sung  Blue,"Though I need a holiday like lady who sung ""Blue"""
Ludacris,Sex Room,lookin,a tri - pod,"Feelin' high but I'm hung real low, lookin' sorta like a tri-pod"
The Beatnuts,Reign of the Tec,retarded,Biz,"Retarded like Biz, eating cats like Heath-"
Nas,Hate Me Now,nigga,me,You ain't never seen a nigga like me ever in your life
Eminem,Just Dont Give a Fuck,dead,Jim Brady,"Slim Shady, brain dead like Jim Brady"
Eminem,Just Dont Give a Fuck,ice,silicone,"I'm everlastin', I melt vanilla ice like silicone"
Eminem,Still Don’t Give a Fuck,open,broken water mains,And bust open like broken water mains
